Age,Club,Cond,Current Race Name,Dist,First,G ID,Grp,MeetDate,Prize$$,Registered Race Name,SECOND,Second,Sex,State,THIRD,Third,Unnamed: 11,Venue,WINNER
3-Y-O,BRC,,THE ROSES,2000,,657,2,2019-05-18,175000,THE ROSES,,,F,QLD,,,SW,DOOM,
3YO&Up,BRC,,DOOMBEN CUP,2000,,39,1,2019-05-18,650000,DOOMBEN CUP,,,O,QLD,,,WFA,DOOM,
O,BRC,,BRC SPRINT,1350,,132,3,2019-05-18,125000,BRC SPRINT,,,O,QLD,,,Qlty,DOOM,
2-Y-O,BRC,,BILL CARTER STAKES,1200,,339,4,2019-05-18,100000,BILL CARTER STAKES,,,F,QLD,,,SW,DOOM,
3YO&Up,BRC,,BRIGHT SHADOW QUALITY,1200,,683,4,2019-05-18,100000,BRIGHT SHADOW QUALITY,,,F&M,QLD,,,Qlty,DOOM,
O,BRC,,CHIEF DE BEERS QUALITY,1110,,684,4,2019-05-18,100000,CHIEF DE BEERS QUALITY,,,O,QLD,,,Qlty,DOOM,
2-Y-O,BRC,,CHAMPAGNE CLASSIC,1200,,206,2,2019-05-11,175000,CHAMPAGNE CLASSIC,,,O,QLD,,,SW,DOOM,
O,SCONE RC,,DARK JEWEL CLASSIC,1400,,652,3,2019-05-11,200000,DARK JEWEL CLASSIC,,,F&M,NSW,,,Qlty,SCNE,
O,SCONE RC,,ORTENSIA STAKES,1100,,738,4,2019-05-11,140000,ORTENSIA STAKES,,,O,NSW,,,Qlty,SCNE,
O,SCONE RC,,LUSKIN STAR STAKES,1300,,764,4,2019-05-11,140000,LUSKIN STAR STAKES,,,O,NSW,,,Qlty,SCNE,
3-Y-O,SCONE RC,,DENISE'S JOY STAKES,1100,,766,4,2019-05-11,140000,DENISE'S JOY STAKES,,,F,NSW,,,Qlty,SCNE,
3-Y-O,SCONE RC,,INGLIS GUINEAS,1400,,946,RL,2019-05-11,250000,INGLIS GUINEAS,,,O,NSW,,,SW,SCNE,
O,BRC,,"DOOMBEN 10,000",1200,,38,1,2019-05-11,700000,"DOOMBEN 10,000",,,O,QLD,,,WFA,DOOM,
2-Y-O,SCONE RC,,WOODLANDS STAKES,1100,,765,4,2019-05-11,140000,WOODLANDS STAKES,,,F,NSW,,,Qlty,SCNE,
3YO&Up,BRC,,CHAIRMAN'S HANDICAP,2000,,183,3,2019-05-11,125000,CHAIRMAN'S HANDICAP,,,O,QLD,,,Qlty,DOOM,
