MeetDate,G ID,Grp,State,Club,Venue,Current Race Name,Dist,Prize$$,Age,Sex,Cond,Registered Race Name,First,Second,Third
13/11/2010,155,4,QLD,BRC,E FM,BRISBANE HANDICAP,1600,75000,O,O,Hcp,BRISBANE HANDICAP,RIGHTSON,YAMARJIE,PYRAMIDS
13/11/2010,355,4,VIC,MRC,SAND,TWILIGHT GLOW STAKES,1400,100000,3-Y-O,F,SWP,TWILIGHT GLOW STAKES,ZELSNITZ,PALOMARES,BOOKLET
13/11/2010,356,4,VIC,MRC,SAND,Triple M's Rockin Horse St,1000,100000,2-Y-O,O,SW,MERSON COOPER STAKES,DINNER DATE,METONYMY,DANISH SHADOW
13/11/2010,637,4,VIC,MRC,SAND,SUMMONED STAKES,1500,100000,4YO&Up,M,SWP,SUMMONED STAKES,HAPPY HIPPY,KY'S THE LIMIT,MAQUINA
13/11/2010,666,4,VIC,MRC,SAND,KEVIN HEFFERNAN STAKES,1300,100000,O,O,WFA,KEVIN HEFFERNAN STAKES,AVENUE,DUBLEANNY,ROYAL IDA
13/11/2010,698,4,WA,WATC,ASCT,JUNGLE MIST CLASSIC,1200,80000,3YO&Up,F&M,Qlty,JUNGLE MIST CLASSIC,POWER PRINCESS,LADY DOLL,SUNSILKIN
18/11/2010,284,4,NSW,GOSFORD RC,GOSF,GOSFORD GOLD CUP,2100,150000,3YO&Up,O,Qlty,GOSFORD GOLD CUP,KEEPIN' THE DREAM,STRIKE ONE,ALEXANDER OF HALES
18/11/2010,579,4,TAS,TTC,LAUN,TASMANIAN NEWMARKET HCP,1200,90000,O,O,Qlty,TTC NEWMARKET HANDICAP,OBSTINADO,GOLD IN DUBAI,LYELL
20/11/2010,43,1,WA,WATC,ASCT,RAILWAY STAKES,1600,1000000,3YO&Up,O,Qlty,RAILWAY STKS,GATHERING,FAMOUS ROMAN,MEGATIC
20/11/2010,242,4,WA,WATC,ASCT,CARBINE OF WA STAKES,1400,80000,3YO&Up,O,Qlty,EASTER STKS,ZAARAVID,ELLIOTTO,MABEL GRACE
20/11/2010,489,4,WA,WATC,ASCT,PLACID ARK STAKES,1200,80000,3-Y-O,O,SWP,PLACID ARK STKS,BLACK FELIX,EVEN ASTAR,PROUD HERO
20/11/2010,504,4,WA,WATC,ASCT,TATTERSALL'S CUP,2100,80000,3YO&Up,O,Qlty,WATC TATTERSALL'S CUP,AQUINAS,BRANDY LANE,DOUBLE BARREL
21/11/2010,128,4,VIC,BALLARAT TC,BRAT,BALLARAT CUP,2200,130000,O,O,Hcp,BALLARAT CUP,MY BENTLEY,KIDNAPPED,ALLANTHUS
27/11/2010,549,2,WA,WATC,ASCT,WINTERBOTTOM STAKES,1200,500000,3YO&Up,O,WFA,WINTERBOTTOM STKS,HADABECLORKA,KING KOOL KAT,WHITEFRIARS
27/11/2010,113,4,WA,WATC,ASCT,AQUANITA STAKES,1800,100000,3-Y-O,O,SWP,AQUANITA STKS,PLAYING GOD,HOEGAARDEN,JOESREADY
27/11/2010,424,4,QLD,TATTS RC QLD,E FM,RECOGNITION STAKES,1600,75000,O,O,Hcp,RECOGNITION STAKES,PEPPERWOOD,LISTEN SON,PYRAMIDS
27/11/2010,649,4,WA,WATC,ASCT,JUNGLE DAWN CLASSIC,1400,80000,3YO&Up,F&M,Qlty,JUNGLE DAWN CLASSIC,PREMARDAL,TRANQUILITY,CANARDLY MISS
27/11/2010,677,4,QLD,TATTS TC QLD,E FM,TATTERSALL'S CLASSIC,1200,75000,3YO&Up,F&M,SWP,TATTERSALL'S CLASSIC,ZERO ROCK,PHENOMENAL LASS,SWISS ROSE
28/11/2010,161,4,NSW,CANBERRA RC,CANB,CANBERRA CUP,2000,200000,O,O,Qlty,CANBERRA CUP,MACKNUCKLE,ROCK KINGDOM,FAST FUTURE
4/12/2010,438,1,WA,WATC,ASCT,KINGSTON TOWN CLASSIC,1800,500000,3YO&Up,O,WFA,KINGSTON TOWN CLASSIC,PLAYING GOD,IMPRESSIVE JEUNEY,TRUSTING
4/12/2010,465,3,WA,WATC,ASCT,SIR ERNEST LEE-STEERE CL,1400,125000,3-Y-O,O,SW,LEE STEERE CLASSIC,PLAYCIDIUM MINT,BLACK FELIX,VERACIOUS
4/12/2010,552,3,QLD,BRC,DOOM,GEORGE MOORE STAKES,1200,200000,O,O,Qlty,SUMMER STAKES,CANCELLED,,
4/12/2010,260,4,NSW,STC,RHIL,FESTIVAL STAKES,1500,100000,O,O,Qlty,FESTIVAL HCP,DYSPHONIA,STRATOFORTRESS,SOUTHERN SKYE
4/12/2010,516,4,WA,WATC,ASCT,G.A. TOWTON CUP,2200,100000,3YO&Up,O,Qlty,G.A. TOWTON CUP,BRANDY LANE,MEGA STEEL,GUYNO
4/12/2010,718,4,QLD,BRC,DOOM,MODE QUALITY,1200,100000,3-Y-O,F,Qlty,MODE STAKES,CANCELLED,,
11/12/2010,451,3,WA,WATC,ASCT,A.J. SCAHILL STAKES,1400,125000,3YO&Up,O,WFA,A J SCAHILL STKS,WARATAH'S SECRET,HADABECLORKA,ELLIOTTO
11/12/2010,197,4,NSW,STC,RHIL,CHRISTMAS CUP,2400,100000,3YO&Up,O,Qlty,CHRISTMAS CUP,BELLAGIO WYNN,ROCK KINGDOM,JUNGLE ROCKET
11/12/2010,201,4,SA,SAJC,MORP,CITY OF MARION STAKES,1200,80000,O,O,Qlty,CITY OF MARION STAKES,ABOUT READY,ROCK THE MOMENT,MISS WITH ATTITUDE
11/12/2010,359,4,QLD,BRC,E FM,PHELAN READY PLATE,1200,100000,2-Y-O,C&G,SWP,PHELAN READY PLATE,IM THE ONE,INTERNAL REVENUE,DOUBLE IMPACT
11/12/2010,478,4,WA,WATC,ASCT,WA ST. LEGER,2100,100000,3-Y-O,O,SW,WA ST LEGER,RANGER,AMELIAS DANCER,HOEGAARDEN
11/12/2010,614,4,WA,WATC,ASCT,STARSTRUCK CLASSIC,1600,80000,3YO&Up,F&M,Qlty,STARSTRUCK CLASSIC,PREMARDAL,VALOURA,LITTLE GREY TEAPOT
11/12/2010,664,4,QLD,BRC,E FM,JUST NOW QUALITY,1300,75000,3YO&Up,F&M,Qlty,JUST NOW QUALITY,BEYONCE'S STAR,IRISH DREAM,ACQUIRED
11/12/2010,678,4,QLD,BRC,E FM,CALAWAY GAL PLATE,1200,100000,2-Y-O,F,SWP,CALAWAY GAL PLATE,MILITARY GRACE,MIDNIGHT MINX,FLYING JET
18/12/2010,213,2,WA,WATC,ASCT,C.B. COX STAKES,2100,250000,3YO&Up,O,WFA,C B COX STKS,COLOUR CORRECT,ADMIRING,BIG TED
18/12/2010,527,2,NSW,AJC,RAND,VILLIERS STAKES,1600,175000,3YO&Up,O,Qlty,VILLIERS STAKES,DANCES ON WOLVES,MENTALITY,SNOW ALERT
18/12/2010,235,4,QLD,BRC,DOOM,LOUGH NEAGH STAKES,1350,200000,O,O,Qlty,LOUGH NEAGH STAKES,ZERO ROCK,LISTEN SON,LUCKY LUNA
18/12/2010,732,4,QLD,BRC,E FM,GOLD EDITION PLATE,1200,100000,3-Y-O,O,SW,GOLD EDITION PLATE,ABEBISI,BIANCA JEWEL,STARTSMEUP
18/12/2010,565,4,WA,WATC,ASCT,R.S. CRAWFORD STAKES,1000,100000,3YO&Up,O,Qlty,R.S. CRAWFORD STKS,GRAND JARDEN,KID CHOISIR,IMPATIENT TIMES
18/12/2010,619,4,NSW,AJC,RAND,RAZOR SHARP HCP,1200,100000,3YO&Up,O,Qlty,RAZOR SHARP HANDICAP,SWIFT ALLIANCE,KEEN COMMANDER,KANZAN
19/12/2010,501,4,TAS,TRC,HOB,TASMANIAN STAKES,1600,90000,O,O,WFA,TASMANIAN STAKES,DREAM PEDLAR,CONQUERING,MILOCHELLO
22/12/2010,699,4,WA,WATC,ASCT,LA TRICE CLASSIC,1800,80000,3YO&Up,F&M,SWP,LA TRICE CLASSIC,TRANQUILITY,PREMARDAL,LITTLE GREY TEAPOT
26/12/2010,488,3,NSW,AJC,RAND,SUMMER CUP,2400,125000,3YO&Up,O,Hcp,SUMMER CUP,SPECHENKA,STRIKE ONE,LET THEM HAVE IT
26/12/2010,705,3,QLD,BRC,DOOM,VO ROGUE PLATE,1350,150000,3-Y-O,O,SW,VO ROGUE PLATE,BENNY'S BUTTONS,FALINO,MOSSRIVER
26/12/2010,29,4,SA,SAJC,MORP,CHRISTMAS HANDICAP,1400,80000,O,O,Qlty,CHRISTMAS HANDICAP,BLAHNIK,OUTLANDISH LAD,ROCK THE MOMENT
26/12/2010,142,4,QLD,BRC,DOOM,BERNBOROUGH HANDICAP,1615,200000,O,O,Qlty,BERNBOROUGH HANDICAP,PAPERWOOD,JAZZ HEART,TAGUS
26/12/2010,198,4,VIC,MRC,CAUL,CHRISTMAS STAKES,1200,100000,O,O,Hcp,CHRISTMAS STAKES,GRAND DUELS,MISS OCTOPUSSY,GOLD IN DUBAI
26/12/2010,311,4,VIC,MRC,CAUL,LORD STAKES,1700,100000,O,O,Hcp,LORD STAKES,ALOHA,WIND SHEAR,LAKEDRO
26/12/2010,558,4,QLD,BRC,DOOM,BJ MCLACHLAN PLATE,1200,150000,2-Y-O,O,SW,BJ MCLACHLAN PLATE,MILITARY GRACE,WONDERFUL YOU,MERRYANNA
1/01/2011,44,2,WA,WATC,ASCT,PERTH CUP,2400,400000,3YO&Up,O,Qlty,PERTH CUP,GUEST WING,GUYNO,SIMPLY ADORABLE
1/01/2011,480,3,VIC,VRC,CAUL,STANDISH HANDICAP,1200,200000,O,O,Hcp,STANDISH HANDICAP,AHDASHIM,CHASM,ÉCLAIR MYSTIC
1/01/2011,125,4,VIC,VRC,CAUL,BAGOT HANDICAP,2800,150000,O,O,Hcp,BAGOT HANDICAP,RENTAROSSA,OUR SERENA,IREL
1/01/2011,175,4,NSW,TATTS (NSW),RAND,CARRINGTON STAKES,1100,100000,3YO&Up,O,Qlty,CARRINGTON STAKES,JEST CREWSIN',CARDINAL VIRTUE,BORDER REBEL
1/01/2011,502,4,NSW,TATTS (NSW),RAND,TATTERSALLS CLUB CUP,2000,100000,3YO&Up,O,Qlty,TATTERSALLS CLUB CUP,SPINNEY,SOUTHERN SKYE,ROCK KINGDOM
1/01/2011,700,4,WA,WATC,ASCT,SUMMER SCORCHER,1000,100000,3YO&Up,O,Qlty,SUMMER SCORCHER,CANALI,WERD,GOTHAM CITY
3/01/2011,640,4,QLD,GOLD COAST TC,GCST,GOLDMARKET HANDICAP,1300,100000,O,O,Qlty,GOLDMARKET HANDICAP,CAPTAIN SANADOR,STEEL LIPS,PHELAN READY
6/01/2011,499,4,TAS,TTC,LAUN,BETFAIR TASMANIAN GUINEAS,1600,90000,3-Y-O,O,SW,TASMANIAN GUINEAS,SOCKS,SECOND DOZEN,MAGNETOSPHERE
8/01/2011,236,4,VIC,MRC,CAUL,DOVETON STAKES,1200,100000,O,O,Hcp,DOVETON STAKES,FIRST COMMAND,DIPLOMATIC FORCE,MAXISUN
14/01/2011,621,4,NSW,STC,CANT,CANTERBURY CLASSIC,1100,100000,3YO&Up,O,Qlty,CANTERBURY CLASSIC,PINWHEEL,WHITEFRIARS,WINTER KING
15/01/2011,194,4,VIC,VRC,FLEM,CHESTER MANIFOLD STAKES,1410,150000,O,O,Hcp,CHESTER MANIFOLD STAKES,DANZYLUM,OFFENDERS,CHASM
15/01/2011,267,4,NSW,STC,RHIL,FRANK UNDERWOOD CUP,2000,100000,3YO&Up,O,Qlty,FRANK UNDERWOOD CUP,VOICE COMMANDER,BID SPOTTER,SPINNEY
22/01/2011,645,4,VIC,VRC,FLEM,KENSINGTON STAKES,1000,100000,O,O,Hcp,KENSINGTON STAKES,GRAND DUELS,WARM LOVE,CARDINAL VIRTUE
23/01/2011,497,4,TAS,TRC,HOB,ELWICK 2 YO STAKES,1100,90000,2-Y-O,O,SW,ELWICK STAKES,CHINCHILLA,TRIPLE ASSET,MORE AWESOME
23/01/2011,608,4,TAS,TRC,HOB,HOBART GUINEAS,2100,90000,3-Y-O,O,SW,HOBART GUINEAS,LUDKA,TIGER WONT TELL,TEARDROP ROCK
26/01/2011,109,4,NSW,AJC,RAND,AUSTRALIA DAY CUP,2400,100000,3YO&Up,O,Hcp,AUSTRALIA DAY CUP,LANG,TIDE,BID SPOTTER
26/01/2011,130,4,VIC,MRC,CAUL,BARTON STAKES,1400,100000,O,O,Hcp,BARTON STAKES,DANZYLUM,WIND SHEAR,ITS PRINCE
26/01/2011,447,4,VIC,MRC,CAUL,BLUE DIAMOND PREVIEW (C&G),1000,100000,2-Y-O,C&G,SWP,BLUE DIAMOND PREVIEW C&G,SEPOY,GRAND BRITANNIA,GOLDEN ARCHER
26/01/2011,448,4,VIC,MRC,CAUL,BLUE DIAMOND PREVIEW (F),1000,100000,2-Y-O,F,SWP,BLUE DIAMOND PREVIEW FILLY,ONE LAST DANCE,ANEVAY,GRASKOP
26/01/2011,563,4,VIC,MRC,CAUL,ZEDITAVE STAKES,1200,100000,3-Y-O,O,SWP,ZEDITAVE STAKES,ÉCLAIR MYSTIC,SPIRITED EAGLE,LINKED IN
27/01/2011,218,4,TAS,TTC,LAUN,THETOTE.COM.AU STAKES,1200,90000,O,O,WFA,PREMIUM STAKES,DOUBTFUL JACK,TOO MANY REDS,CONQUERING
28/01/2011,559,2,VIC,MVRC,M V,AUSTRALIA STAKES,1200,200000,O,O,WFA,STANLEY WOOTTON STAKES,WHITEFRIARS,UNDENIABLY,TYPHOON TRACY
28/01/2011,679,4,QLD,SUN COAST TC,SCST,SUNSHINE COAST CUP,1400,100000,O,O,Hcp,SUMMER CUP,DALZAR,DUAL CHAMBER,BLAZING HEARTS
29/01/2011,185,4,WA,WATC,ASCT,CHALLENGE STAKES.,1400,80000,3-Y-O,O,SWP,WATC CHALLENGE STKS,BIG HOLD UP,PRIVATE DANCE,FAVOURITE STAR
29/01/2011,706,4,QLD,BRC,E FM,NUDGEE QUALITY,1200,100000,3YO&Up,F&M,Qlty,NUDGEE QUALITY,CARIAD,SPANISH FLING,ZIPPY LOU
5/02/2011,254,2,NSW,STC,RHIL,EXPRESSWAY STAKES,1200,200000,3YO&Up,O,WFA,EXPRESSWAY STAKES,CENTENNIAL PARK,LOVE CONQUERS ALL,HOT DANISH
5/02/2011,498,3,TAS,TRC,HOB,TASMANIAN DERBY,2200,150000,3-Y-O,O,SW,TASMANIAN DERBY,MOURINHO,HEEZ BORN LUCKY,JAY BEE'S GEE GEE
5/02/2011,31,4,SA,SAJC,MORP,BIRTHDAY CUP,1800,80000,O,O,Qlty,BIRTHDAY CUP,RIVER'S LANE,FOXHAM,KERT
5/02/2011,487,4,TAS,TRC,HOB,STRUTT STAKES,2100,90000,3-Y-O,F,SW,STRUTT STAKES,TOUGH CHIK,EXCHANGES,LE BEL AWAY
5/02/2011,692,4,TAS,TRC,HOB,BOW MISTRESS TROPHY,1200,150000,3YO&UP,F&M,WFA,BOW MISTRESS TROPHY,LADY LYNETTE,IM A HUSSY,HAPPY ANGEL
5/02/2011,584,4,VIC,MRC,CAUL,POL ROGER STAKES,1100,100000,2-Y-O,O,SWP,MRC CHAIRMAN'S STAKES,ATOMIC,VATICAN,HOLLYWEIRD
5/02/2011,303,4,VIC,MRC,CAUL,W. J. (BILL) ADAMS STAKES,1000,100000,O,O,Hcp,W J ADAMS STAKES,CANCELLED,,
5/02/2011,452,4,VIC,MRC,CAUL,MANFRED STAKES,1200,100000,3-Y-O,O,SWP,MANFRED STAKES,ENJIN NUMBER NINE,BULLBARS,STAR WITNESS
10/02/2011,282,4,TAS,TTC,LAUN,GOLD SOVEREIGN STAKES,1200,150000,2-Y-O,O,SW,GOLD SOVEREIGN STAKES,GOLDEN ARCHER,TRIPLE ASSET,MORE AWESOME
12/02/2011,393,1,VIC,MRC,CAUL,C.F.ORR STAKES,1400,400000,O,O,WFA,C.F. ORR STAKES,TYPHOON TRACY,HEART OF DREAMS,ORTENSIA
12/02/2011,124,2,VIC,MRC,CAUL,AUTUMN STAKES,1400,180000,3-Y-O,O,SWP,AUTUMN STAKES,DUSTY STAR,UNDER THE EIFFEL,ÉCLAIR MYSTIC
12/02/2011,330,2,NSW,AJC,RAND,LIGHT FINGERS STAKES,1200,175000,3-Y-O,F,SW,LIGHT FINGERS STAKES,OBSEQUIOUS,RED TRACER,PARABLES
12/02/2011,441,2,NSW,AJC,RAND,ROYAL SOVEREIGN STAKES,1200,175000,3-Y-O,C&G,SW,ROYAL SOVEREIGN STAKES,MASTER HARRY,AUDACIOUS SPIRIT,SKILLED
12/02/2011,627,2,NSW,AJC,RAND,BREEDERS' CLASSIC,1200,175000,4YO&Up,M,SWP,BREEDERS CLASSIC,MORE JOYOUS,GRACEFUL ANNA,NO EVIDENCE NEEDED
12/02/2011,170,3,VIC,MRC,CAUL,CARLYON CUP,1600,125000,O,O,SWP,T S CARLYON CUP,LORD PYRUS,VOILE ROUGE,ITS PRINCE
12/02/2011,178,3,VIC,MRC,CAUL,BLUE DIAMOND PRELUDE (C&G),1100,125000,2-Y-O,C&G,SW,BLUE DIAMOND PRELUDE C&G,SEPOY,RUNNING TALL,HUEGILL
12/02/2011,179,3,VIC,MRC,CAUL,BLUE DIAMOND PRELUDE (F),1100,125000,2-Y-O,F,SW,BLUE DIAMOND PRELUDE FLLY,ONE LAST DANCE,GLISSADE,HALLOWELL BELLE
12/02/2011,268,3,NSW,AJC,RAND,SOUTHERN CROSS STAKES,1200,125000,3YO&Up,O,Qlty,FREDERICK CLISSOLD STAKES,SISTER MADLY,PINWHEEL,CARDINAL VIRTUE
12/02/2011,576,3,VIC,MRC,CAUL,RUBITON STAKES,1100,125000,O,O,SWP,RUBITON STAKES,CATAPULTED,AVENUE,SOLAR CHARGED
12/02/2011,188,3,WA,WATC,ASCT,W.A. CHAMPION FILLIES ST,1600,175000,3-Y-O,F,SW,CHAMPION FILLIES,DREAMAWAY,MOONLIGHT BAY,MISS VINNOIRE
12/02/2011,661,3,VIC,MRC,CAUL,HYDERABAD STAKES,1200,125000,4YO&Up,M,SWP,GEOFFREY BELMAINE STAKES,BEADED,VARENNA MISS,DAS MACHEN
12/02/2011,162,4,NSW,AJC,RAND,CANONBURY STAKES,1100,100000,2-Y-O,C&G,SWP,CANONBURY STAKES,DIAMOND TO PEGASUS,WRITTEN CONSENT,WILD AND PROUD
12/02/2011,316,4,VIC,MRC,CAUL,KEVIN HAYES STAKES,1200,100000,3-Y-O,F,SWP,BORONIA STAKES,MISS GAI FLYER,MISS ELVEE,PINKER PINKER
12/02/2011,542,4,NSW,AJC,RAND,WIDDEN STAKES,1100,100000,2-Y-O,F,SWP,WIDDEN STAKES,SATIN SHOES,ELITE FALLS,SHARED REFLECTIONS
13/02/2011,40,3,TAS,TRC,HOB,HOBART CUP,2200,300000,O,O,Hcp,HOBART CUP,BID SPOTTER,ORGANISED,DAVCON
13/02/2011,247,4,TAS,TRC,HOB,TATTS THOMAS LYONS STKS,1400,90000,O,O,WFA,THOMAS LYONS STAKES,CONQUERING,ROCKY TIMES,ROYAL IDA
16/02/2011,111,4,VIC,MORN RC,MORN,HAREEBA STAKES,1200,100000,O,O,Hcp,HAREEBA STAKES,ZEDI KNIGHT,LAUNAY,SECRET FLYER
16/02/2011,370,4,VIC,MORN RC,MORN,MORNINGTON CUP,2400,200000,O,O,Hcp,MORNINGTON CUP,GUYNO,CEDARBERG,SHEWAN
17/02/2011,500,4,TAS,TTC,LAUN,TAS OAKS,2100,150000,3-Y-O,F,SW,TASMANIAN OAKS,LA FANTASTIQUE,EXCHANGES,GIGGLESWICK
19/02/2011,332,1,VIC,VRC,FLEM,LIGHTNING STAKES,1000,750000,O,O,WFA,VRC LIGHTNING STAKES,BLACK CAVIAR,HAY LIST,WARM LOVE
19/02/2011,112,2,NSW,STC,RHIL,APOLLO STAKES,1400,250000,3YO&Up,O,WFA,APOLLO STAKES,MELITO,HOT DANISH,CENTENNIAL PARK
19/02/2011,226,3,VIC,VRC,FLEM,CS HAYES STAKES,1200,200000,3-Y-O,C&G,SWP,THE DEBONAIR,BULLBARS,STARTS ME UP,SPIRITED EAGLE
19/02/2011,524,3,VIC,VRC,FLEM,THE VANITY,1200,200000,3-Y-O,F,SWP,THE VANITY,SOUTHERN SPEED,DO RA MI,COUNT YOUR FINGERS
19/02/2011,30,4,SA,SAJC,MORP,PORT ADELAIDE CUP,2250,80000,O,O,Qlty,PORT ADELAIDE CUP,MAUNATRICE,ZAUBERIN,FOXHAM
19/02/2011,397,4,NSW,STC,RHIL,PARRAMATTA CUP,2000,100000,3YO&Up,O,Qlty,PARRAMATTA CUP,HAWK ISLAND,ALEXANDER OF HALES,BARLAGARNEY
19/02/2011,411,4,SA,SAJC,MORP,QUEEN ADELAIDE STAKES,1000,80000,2-Y-O,O,SW,QUEEN ADELAIDE STAKES,CHINCHILLA,ANYTHINGTHATMOVES,MOTIFS
19/02/2011,492,4,WA,WATC,ASCT,SUPREMACY STAKES,1100,80000,2-Y-O,C&G,SWP,SUPREMACY STKS,SINGLE SPICE,RED HOT SAX,DON’T GIVE A STAR
19/02/2011,635,4,WA,WATC,ASCT,T.J. SMITH TROPHY,1600,80000,3-Y-O,O,SWP,TJ SMITH TROPHY,VERACIOUS,THE TENBY FRAIR,BIG JOSH
19/02/2011,496,4,VIC,VRC,FLEM,TALINDERT STAKES,1000,100000,2-Y-O,O,SWP,TALINDERT STAKES,ANEVAY,CASH FOR MATT,COVERED IN CLASS
19/02/2011,596,4,WA,WATC,ASCT,DETONATOR STAKES,1800,80000,3YO&Up,O,Qlty,DETONATOR HCP,LATE NIGHT FLIGHT,ROCKY RANGE,CHANGING LANES
19/02/2011,629,4,NSW,STC,RHIL,TRISCAY STAKES,1200,100000,3YO&Up,F&M,Qlty,TRISCAY STAKES,KISS FROM A ROSE,GIRL HUSSLER,MORE STRAWBERRIES
23/02/2011,41,3,TAS,TTC,LAUN,LAUNCESTON CUP,2400,225000,O,O,Hcp,LAUNCESTON CUP,FAST FUTURE,WHITE YARD,GEEGEES BLACKFLASH
23/02/2011,374,4,TAS,TTC,LAUN,TATTS GEORGE ADAMS PL,1600,100000,O,O,WFA,MOWBRAY STAKES,LOCK IT IN EDDIE,FORBIDDEN QUEST,EBBING
23/02/2011,709,4,TAS,TTC,LAUN,VAMOS STAKES,1400,100000,3YO&Up,F&M,WFA,VAMOS STAKES,LADY LYNETTE,PRINCESS QUALITY,WINGED CHARM
25/02/2011,731,4,VIC,MVRC,M V,FILLIES PLATE,1200,100000,3-Y-O,F,Hcp,FILLIES PLATE,OBSEQUIOUS,WILLOW CREEK,MISS GAI FLYER
26/02/2011,17,1,VIC,MRC,CAUL,FUTURITY STAKES,1400,500000,O,O,WFA,FUTURITY STAKES,MORE JOYOUS,WHOBEGOTYOU,DAO DAO
26/02/2011,21,1,VIC,MRC,CAUL,BLUE DIAMOND STAKES,1200,1000000,2-Y-O,O,SW,BLUE DIAMOND STAKES,SEPOY,HALLOWELLE BELLE,MASTHEAD
26/02/2011,387,1,VIC,MRC,CAUL,OAKLEIGH PLATE,1100,350000,O,O,Hcp,OAKLEIGH PLATE,EAGLE FALLS,AVENUE,HINCHINBROOK
26/02/2011,25,2,NSW,STC,RHIL,SILVER SLIPPER STAKES,1100,200000,2-Y-O,O,SW,SILVER SLIPPER STAKES,SATIN SHOES,ELITE FALLS,STRAIGHT GOLD
26/02/2011,180,2,VIC,MRC,CAUL,AUTUMN CLASSIC,1800,180000,3-Y-O,O,SW,CAULFIELD AUTUMN CLASSIC,FOLDING GEAR,ELUSIVE KING,ALMINDORO
26/02/2011,310,2,NSW,STC,RHIL,HOBARTVILLE STAKES,1400,200000,3-Y-O,O,SW,HOBARTVILLE STAKES,ILOVETHISCITY,RETRIEVE,SKILLED
26/02/2011,474,2,VIC,MRC,CAUL,ST GEORGE STAKES,1800,200000,O,O,WFA,ST GEORGE STAKES,HEART OF DREAMS,PRECEDENCE,SPACE CRAFT
26/02/2011,518,2,VIC,MRC,CAUL,ANGUS ARMANASCO STAKES,1400,180000,3-Y-O,F,SW,ANGUS ARMANASCO STAKES,PINKER PINKER,SAYAHAILMARY,SISTINE ANGEL
26/02/2011,562,3,VIC,MRC,CAUL,MANNERISM STAKES,1400,125000,4YO&Up,M,SWP,MANNERISM STAKES,RED FLAIR,SIMPLY PUT,MAYNEDA STRATEGY
26/02/2011,647,3,NSW,STC,RHIL,MILLIE FOX QLTY STAKES,1300,125000,3YO&Up,F&M,Qlty,MILLIE FOX STAKES,MONTANA FLYER,GRACEFUL ANNA,JERSEY LILY
26/02/2011,724,4,WA,WATC,ASCT,WATC ASCOT 1000 GUINEAS,1800,80000,3-Y-O,F,SWP,WATC ASCOT 1000 GUINEAS,DREAM AWAY,LAURADANE,MISS VINNOIRE
26/02/2011,220,4,WA,WATC,ASCT,CYRIL FLOWER STAKES,1200,80000,3YO&Up,O,Qlty,CYRIL FLOWER STKS,ESCADAIRE,PHENOMENONS,WOLFE DREAMS
26/02/2011,383,4,SA,SAJC,MORP,H C NITSCHKE STAKES,1400,80000,3-Y-O,O,SWP,H C NITSCHKE STAKES,AINTNOFALLENSTAR,ALWAYS DISCREET,ADDICTION TO ROCK
26/02/2011,631,4,SA,SAJC,MORP,REDELVA STAKES,1000,80000,3-Y-O,O,SWP,REDELVA STAKES,TROPIC THUNDER,KULGRINDA,OBSIDIAN DRAGON
26/02/2011,665,4,VIC,MRC,CAUL,VICTORIA GOLD CUP,2000,100000,O,O,Qlty,VICTORIA GOLD CUP,VESPER,PORT VELL,DOWN UNDER BOY
26/02/2011,725,4,NSW,STC,RHIL,FIREBALL QUALITY HCP,1100,100000,3-Y-O,O,Qlty,FIREBALL QUALITY HCP,DECISION TIME,CELTS,PARRIWI
26/02/2011,681,4,QLD,BRC,E FM,FALVELON QUALITY,1200,100000,O,O,Hcp,FALVELON QUALITY,ESSINGTON,BOLD GLANCE,THE JACKAL
27/02/2011,323,4,VIC,KILMORE TC,KILM,KILMORE CUP,1600,110000,O,O,Hcp,KILMORE CUP,ALCOPOP,ITS PRINCE,VIVID VIXEN
4/03/2011,648,2,VIC,MVRC,M V,MOONEE VALLEY FILLIES CL,1600,200000,3-Y-O,F,SW,MOONEE VALLEY FILLIES CL,LIGHT OF HEAVEN,ALWAYS DISCREET,ABSOLUTELY
5/03/2011,123,1,VIC,VRC,FLEM,CADBURY GUINEAS,1600,750000,3-Y-O,O,SW,AUSTRALIAN GUINEAS,SHAMROCKER,BULLBARS,PLAYING GOD
5/03/2011,195,1,NSW,AJC,WFM,CHIPPING NORTON STAKES,1600,350000,3YO&Up,O,WFA,CHIPPING NORTON STAKES,DANLEIGH,CENTENNIAL PARK,SACRED CHOICE
5/03/2011,493,2,NSW,AJC,WFM,SURROUND STAKES,1400,175000,3-Y-O,F,SW,SURROUND STAKES,PARABLES,RED TRACER,ROSE OF PEACE
5/03/2011,265,3,VIC,VRC,FLEM,SCHWEPPES STAKES,1400,150000,4YO&Up,M,SWP,FRANCES TRESSADY STAKES,ALOHA,FLYING TESSIE,IM DISCREET
5/03/2011,336,3,NSW,AJC,WFM,LIVERPOOL CITY CUP,1300,125000,3YO&Up,O,Qlty,LIVERPOOL CITY CUP,TRIPLE ELEGANCE,GRACEFUL ANNA,PURENESS
5/03/2011,540,3,SA,SAJC,MORP,BREEDERS' STAKES,1200,115000,2-Y-O,O,SW,BREEDERS STAKES,ROCKSHAFT,REDANGELO,RESCUE MISSION
5/03/2011,541,3,SA,SAJC,MORP,TOOHEYS NEW STAKES,2600,115000,O,O,SWP,LORD REIMS STAKES,GUYNO,MAUNATRICE,LADY AVACAN
