MeetDate,G ID,Grp,State,Club,Venue,Current Race Name,Dist,Prize$$,Age,Sex,Cond,Registered Race Name,First,Second,Third
19/03/2011,165,2,NSW,STC,RHIL,CANTERBURY STAKES,1300,175000,3YO&Up,O,WFA,CANTERBURY STAKES,MORE JOYOUS,LOVE CONQUERS ALL,DEMERIT
19/03/2011,320,2,WA,WATC,ASCT,KARRAKATTA PLATE,1200,500000,2-Y-O,O,SW,KARRAKATTA PLATE,NIGHT WAR,BENNY'S HALO,REBEL CALL
19/03/2011,401,2,NSW,STC,RHIL,PHAR LAP STAKES,1500,175000,3-Y-O,O,SW,PHAR LAP STAKES,BLACKIE,FAST CLIP,SWORN TO SECRECY
19/03/2011,428,2,NSW,STC,RHIL,REISLING STAKES,1200,300000,2-Y-O,F,SW,REISLING SLIPPER TRIAL,ELITE FALLS,SATIN SHOES,FAST AND SEXY
19/03/2011,511,2,NSW,STC,RHIL,TODMAN STAKES,1200,300000,2-Y-O,C&G,SW,TODMAN SLIPPER TRIAL,SMART MISSILE,SEPOY,FOXWEDGE
19/03/2011,122,4,WA,WATC,ASCT,W.A.T.C. STAKES,1100,80000,3YO&Up,O,Qlty,AUSTRALIA DAY STKS,CASPER COWBOY,THE ENTOURAGE,ESCADAIRE
19/03/2011,352,4,WA,WATC,ASCT,MELVISTA STAKES,2200,80000,3-Y-O,C&G,SWP,MELVISTA STKS,RIO DANE,THE TENBY FRAIR,VERACIOUS
19/03/2011,598,4,NSW,STC,RHIL,SKY HIGH STAKES,1900,100000,3YO&Up,O,Qlty,SKY HIGH STAKES,OLDER THAN TIME,LVEN YAT FOREVER,SYREON
19/03/2011,603,4,NSW,STC,RHIL,MAURICE McCARTEN STAKES,1100,100000,3YO&Up,O,Qlty,MAURICE McCARTEN STAKES,ATOMIC FORCE,WINTER KING,DORF COMMAND
25/03/2011,544,1,VIC,MVRC,M V,WILLIAM REID STAKES,1200,500000,O,O,WFA,WILLIAM REID STAKES,BLACK CAVIAR,CRYSTAL LILY,HINCHINBROOK
25/03/2011,232,2,VIC,MVRC,M V,SUNLINE STAKES,1600,200000,3YO&Up,F&M,WFA,DIAMOND JUBILEE STAKES,NAKAAYA,LADY LYNETTE,PLATINUM PASSION
26/03/2011,15,1,NSW,STC,RHIL,ROSEHILL GUINEAS,2000,500000,3-Y-O,O,SW,ROSEHILL GUINEAS,JIMMY CHOUX,RETRIEVE,SHAMROCKER
26/03/2011,45,1,WA,WATC,ASCT,W.A.T.C. DERBY,2400,500000,3-Y-O,O,SW,W.A.T.C. DERBY,DREAMAWAY,WHY SHE LEFT,LADYSEA
26/03/2011,121,1,SA,SAJC,MORP,SCHWEPPES OAKS,2000,350000,3-Y-O,F,SW,AUSTRALASIAN OAKS,LIGHT OF HEAVEN,ABSOLUTELY,SOUTHERN SPEED
26/03/2011,495,1,SA,SAJC,MORP,ROBERT SANGSTER STAKES,1200,350000,O,F&M,WFA,ROBERT SANGSTER STAKES,RESPONSE,BEADED,MISS OCTOPUSSY
26/03/2011,233,2,NSW,STC,RHIL,AJAX STAKES,1500,175000,3YO&Up,O,Qlty,AJAX STAKES,PURENESS,MENTALITY,LEBRECHAUN
26/03/2011,342,2,NSW,STC,RHIL,MAGIC NIGHT STAKES,1200,175000,2-Y-O,F,SW,MAGIC NIGHT STAKES,ALTAR,PANE IN THE GLASS,AEROBATICS
26/03/2011,396,2,NSW,STC,RHIL,PAGO PAGO STAKES,1200,175000,2-Y-O,C&G,SW,PAGO PAGO STAKES,SALADE,BOYS ON TOUR,EXCEED AND EXALT
26/03/2011,143,3,NSW,STC,RHIL,BIRTHDAY CARD STAKES,1200,125000,3YO&Up,F&M,Qlty,BIRTHDAY CARD STKS,ZINGALING,LADYS ANGEL,FLYING SUCCESS
26/03/2011,668,3,NSW,STC,RHIL,KEITH F NOLAN CLASSIC,1600,150000,3-Y-O,F,SWP,KEITH F NOLAN CLASSIC,BRAZILIAN PULSE,FIBRILLATION,HONOR NET
26/03/2011,379,3,SA,SAJC,MORP,THE JANSZ,1200,115000,2-Y-O,O,SWP,NATIONAL STAKES,TRIPLE ASSET,WIN FOR WILSON,GONE SKIING
