MeetDate,G ID,Grp,State,Club,Venue,Current Race Name,Dist,Prize$$,Age,Sex,Cond,Registered Race Name,WINNER,SECOND,THIRD
13/02/2010,162,4,NSW,AJC,RAND,CANONBURY STAKES,1100,100000,2-Y-O,C&G,SWP,CANONBURY STAKES,HITCHINBROOK,CORVIDAE,RUN FOR WILSON
13/02/2010,542,4,NSW,AJC,RAND,WIDDEN STAKES,1100,100000,2-Y-O,F,SWP,WIDDEN STAKES,GEORGETTE SILK,MAFIA MISS,SO DETACHED
13/02/2010,30,4,SA,SAJC,MORP,PORT ADELAIDE CUP,2250,70000,O,O,Qlty,PORT ADELAIDE CUP,RIGHT FONG,KERDEM,ITSTHEONE
13/02/2010,411,4,SA,SAJC,MORP,QUEEN ADELAIDE STAKES,1000,70000,2-Y-O,O,SW,QUEEN ADELAIDE STAKES,WARM LOVE,PARISIAN SUNRISE,SHRAPNEL
14/02/2010,282,4,TAS,TTC,LAUN,GOLD SOVEREIGN STAKES,1200,150000,2-Y-O,O,SW,GOLD SOVEREIGN STAKES,STRIKE THE TIGER,CUDDLES FOR NAARA,GATHERING GOLD
14/02/2010,323,4,VIC,KILMORE TC,KILM,KILMORE CUP,1600,110000,O,O,Hcp,KILMORE CUP,JOKU,SCENIC SCENE,VANDALO
17/02/2010,370,4,VIC,MORN RC,MORN,MORNINGTON CUP,2400,200000,O,O,Hcp,MORNINGTON CUP,CAPECOVER,AL WAFI,FAIRYGEM
17/02/2010,111,4,VIC,MORN RC,MORN,HAREEBA STAKES,1200,100000,O,O,Hcp,HAREEBA STAKES,HUXSSEN,MR BARITONE,CAPTAIN COLTISH
20/02/2010,21,1,VIC,MRC,CAUL,BLUE DIAMOND STAKES,1200,1000000,2-Y-O,O,SW,BLUE DIAMOND STAKES,STAR WITNESS,SHAAHEQ,BENETEAU
20/02/2010,387,1,VIC,MRC,CAUL,OAKLEIGH PLATE,1100,350000,O,O,Hcp,OAKLEIGH PLATE,STARSPANGLEDBANNER,HERE DE ANGELS,ARINOS
20/02/2010,112,2,NSW,STC,RHIL,APOLLO STAKES,1400,250000,3YO&Up,O,WFA,APOLLO STAKES,DANLEIGH,RANGIRANGDOO,PALACIO DE CRISTAL
20/02/2010,474,2,VIC,MRC,CAUL,ST GEORGE STAKES,1800,200000,O,O,WFA,ST GEORGE STAKES,SET FOR FAME,GIGAS,IRISH LIGHTS
20/02/2010,518,2,VIC,MRC,CAUL,ANGUS ARMANASCO STAKES,1400,175000,3-Y-O,F,SW,ANGUS ARMANASCO STAKES,LA ROCKET,HEART OF DREAMS,MISS MAREN
