MeetDate,G ID,Grp,State,Club,Venue,Current Race Name,Dist,Prize$$,Age,Sex,Cond,Registered Race Name
03-Nov-15,491,4,VIC,VRC,FLEM,LEXUS HYBRID STAKES,1400,150000,3-Y-O,F,SWP,DESIRABLE STAKES
03-Nov-15,745,4,VIC,VRC,FLEM,MSS SECURITY SPRINT,1200,150000,O,O,Hcp,ALWAYS WELCOME STAKES
03-Nov-15,210,3,WA,WATC,ASCT,COLONEL REEVES STAKES,1100,150000,3YO&Up,O,SWP,COLONEL REEVES
05-Nov-15,673,4,NSW,HAWKESBURY RC,HAWK,SKIN FITNESS CUP,1400,100000,O,O,Hcp,SAFILO CUP
05-Nov-15,19,1,VIC,VRC,FLEM,CROWN OAKS,2500,1000000,3-Y-O,F,SW,VRC OAKS
05-Nov-15,722,3,VIC,VRC,FLEM,G.H. MUMM STAKES,1100,200000,O,M,SWP,BEGONIA BELLE STAKES
05-Nov-15,426,3,VIC,VRC,FLEM,GUCCI STAKES,1200,150000,3-Y-O,F,SWP,RED ROSES STAKES
05-Nov-15,172,4,VIC,VRC,FLEM,DILMAH EARL GREY STAKES,1000,150000,O,O,Hcp,CENTURY STAKES
05-Nov-15,252,4,VIC,VRC,FLEM,TCL 4K UDH TV HANDICAP,1800,150000,3-Y-O,O,Hcp,BATMAN HANDICAP
07-Nov-15,106,1,VIC,VRC,FLEM,EMIRATES STAKES,1600,1000000,O,O,Qlty,CANTALA STAKES
07-Nov-15,271,1,VIC,VRC,FLEM,DARLEY CLASSIC,1200,1000000,O,O,WFA,VICTORIA RACING CLUB STKS
07-Nov-15,639,2,VIC,VRC,FLEM,MOMENTUM ENERGY STAKES,2000,300000,4YO&Up,M,SWP,MATRIARCH STAKES
07-Nov-15,413,3,VIC,VRC,FLEM,QUEEN ELIZABETH STAKES,2600,300000,O,O,Qlty,VRC QUEEN ELIZABETH STAKES
07-Nov-15,345,3,VIC,VRC,FLEM,RACING.COM MARIBYRNONG PLATE,1000,150000,2-Y-O,O,SW,MARIBYRNONG PLATE
07-Nov-15,522,4,VIC,VRC,FLEM,HILTON HOTELS STAKES,1400,150000,3-Y-O,O,Hcp,VRC SPRINGTIME STAKES
07-Nov-15,328,2,WA,WATC,ASCT,LEE STEERE STAKES,1400,250000,3YO&Up,O,WFA,LEE STEERE STKS
07-Nov-15,114,4,WA,WATC,ASCT,ASCOT GOLD CUP,1800,100000,3YO&Up,O,Qlty,ASCOT GOLD CUP
07-Nov-15,256,4,WA,WATC,ASCT,FAIRETHA STAKES,1400,100000,3-Y-O,C&G,SWP,FAIRETHA STKS
14-Nov-15,747,4,QLD,BRC,DOOM,KEITH NOUD QUALITY,1200,100000,3YO&Up,O,Qlty,KEITH NOUD QUALITY
14-Nov-15,449,2,VIC,MRC,SAND,ZIPPING CLASSIC,2400,300000,O,O,WFA,SANDOWN CLASSIC
14-Nov-15,450,2,VIC,MRC,SAND,WILLIAM HILL SANDOWN GUINEAS,1600,250000,3-Y-O,O,SW,SANDOWN GUINEAS
14-Nov-15,208,3,VIC,MRC,SAND,SANDOWN STAKES,1500,150000,O,O,Qlty,SANDOWN STAKES
